[API Error][2023-01-02T10:45:40.121Z][#401]: {"type":"error","status":401,"message":"Could not connect to any servers in your MongoDB Atlas cluster. One common reason is that you're trying to access the database from an IP that isn't whitelisted. Make sure your current IP address is on your Atlas cluster's IP whitelist: https://docs.atlas.mongodb.com/security-whitelist/"}
[API Error][2023-01-03T13:46:44.216Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T13:46:59.746Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T13:47:36.967Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T13:47:48.212Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T13:56:54.109Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T13:56:57.536Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T14:57:44.128Z][#500]: {"type":"error","status":500,"message":"errors is not defined"}
[API Error][2023-01-03T15:12:58.313Z][#500]: {"type":"error","status":500,"message":"errors is not defined"}
[API Error][2023-01-03T15:15:13.325Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:23:50.719Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:36:37.145Z][#500]: {"type":"error","status":500,"message":"errors is not defined"}
[API Error][2023-01-03T15:36:37.649Z][#500]: {"type":"error","status":500,"message":"errors is not defined"}
[API Error][2023-01-03T15:40:33.110Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:41:43.820Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:42:11.528Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:44:05.702Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T15:45:40.444Z][#500]: {"type":"error","status":500,"message":"errors is not defined"}
[API Error][2023-01-03T15:48:34.897Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T16:24:56.084Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-03T19:29:06.696Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:55:58.276Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:56:22.170Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:56:39.897Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:56:45.266Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:57:46.686Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
[API Error][2023-01-04T05:57:49.798Z][#404]: {"type":"error","status":404,"message":"Routes Not found"}
